,Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL,year,month,day
8765,Mitsubishi Lancer EX Shark 2016,720000.0,Black,88000.0,Mitsubishi,Lancer EX Shark,Mohandessin,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6176175,2023,12,16
8766,Hyundai IX 35 2016,930000.0,Black,200000.0,Hyundai,IX 35,Al Shorouk,2023-12-27,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/IX-35/6194586,2023,12,27
8767,Chevrolet Lanos 2016,300000.0,Black,140000.0,Chevrolet,Lanos,Alexandria,2023-12-27,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6194565,2023,12,27
8768,Skoda Octavia A4 2007,460000.0,Silver,163200.0,Skoda,Octavia A4,Qalyubia,2023-12-12,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6151998,2023,12,12
8769,Skoda Octavia A7 2017,1000000.0,Silver,155000.0,Skoda,Octavia A7,Minya Al Qamh,2023-12-27,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A7/6194538,2023,12,27
8770,Toyota Fortuner 2022,3500000.0,White,32000.0,Toyota,Fortuner,Giza,2023-12-27,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/fortuner/6194505,2023,12,27
8771,Chery Tiggo 2 2020,690000.0,Brown,37000.0,Chery,Tiggo 2,Shobra,2023-12-27,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo-2/5934840,2023,12,27
8772,Brilliance V5 2015,620000.0,Silver,120000.0,Brilliance,V5,Cairo,2023-12-27,No,No,No,No,https://eg.hatla2ee.com/en/car/brilliance/v5/6194504,2023,12,27
8773,Kia Sportage 2019,1600000.0,Red,31000.0,Kia,Sportage,Faiyum,2023-12-27,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6194493,2023,12,27
8774,Lifan foison 2014,150000.0,Silver,97000.0,Lifan,foison,Maadi,2023-12-27,No,Yes,No,No,https://eg.hatla2ee.com/en/car/lifan/foison/6194495,2023,12,27
8776,Mitsubishi Lancer EX Shark 2015,640000.0,White,200000.0,Mitsubishi,Lancer EX Shark,Kafr el-Sheikh,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6194427,2023,12,26
8777,Kia Grand Cerato 2020,1100000.0,White,42000.0,Kia,Grand Cerato,Beni Suef,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/Grand-Cerato/6194390,2023,12,26
8778,Chery Arrizo 5 2022,700000.0,White,110000.0,Chery,Arrizo 5,Suez,2023-12-26,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6194391,2023,12,26
8779,Chevrolet Lanos 2015,315000.0,Black,270000.0,Chevrolet,Lanos,Bilbeis,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6194351,2023,12,26
8780,Renault Duster 2018,700000.0,Dark grey,88000.0,Renault,Duster,Giza,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/renault/duster/6194343,2023,12,26
8781,Kia Sephia 1999,205000.0,Gold,200000.0,Kia,Sephia,Banha,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/sephia/6194331,2023,12,26
8782,Hyundai Verna 2016,420000.0,Silver,300000.0,Hyundai,Verna,Giza,2023-12-26,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6194340,2023,12,26
8783,Speranza Tiggo 2010,290000.0,Silver,170000.0,Speranza,Tiggo,Agamy,2023-12-26,No,Yes,No,No,https://eg.hatla2ee.com/en/car/speranza/tiggo/6194334,2023,12,26
8784,Nissan Sunny 2022,800000.0,Silver,65000.0,Nissan,Sunny,Cairo,2023-11-24,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6133961,2023,11,24
8785,Opel Astra 2020,1100000.0,Silver,29000.0,Opel,Astra,Giza,2023-11-27,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/astra/6133973,2023,11,27
8786,Byd F3 2021,450000.0,Silver,117000.0,Byd,F3,Mohandessin,2023-12-26,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6194313,2023,12,26
8787,Nissan Sunny 2015,450000.0,Silver,175000.0,Nissan,Sunny,Mansoura,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6194310,2023,12,26
8789,Skoda Octavia A8 2021,1625000.0,White,80000.0,Skoda,Octavia A8,Nasr city,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/Octavia-A8/6156707,2023,12,26
8790,Suzuki Van 2013,220000.0,Silver,120000.0,Suzuki,Van,El Katameya,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/suzuki/van/6194288,2023,12,26
8791,Hyundai Tucson 2021,1900000.0,Gray,75000.0,Hyundai,Tucson,6 October,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/tucson/6193064,2023,12,26
8792,Hyundai Creta 2016,1100000.0,Silver,49500.0,Hyundai,Creta,Nasr city,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/creta/6194229,2023,12,26
8793,Mercedes E 180 2019,3300000.0,Black,137000.0,Mercedes,E 180,Mohandessin,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/e-180/6194220,2023,12,26
8794,Chevrolet Captiva 2023,1500000.0,White,2500.0,Chevrolet,Captiva,Mansoura,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/captiva/6194201,2023,12,26
8795,Peugeot 5008 2019,1350000.0,Silver,195000.0,Peugeot,5008,Giza,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/5008/6194135,2023,12,26
8796,Byd F3 2015,360000.0,White,450000.0,Byd,F3,10th of Ramadan,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/byd/f3/6194193,2023,12,26
8797,Toyota Corolla 2011,675000.0,Black,230000.0,Toyota,Corolla,Mansoura,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6194189,2023,12,26
8799,Hyundai Tucson GDI 2019,1600000.0,White,60000.0,Hyundai,Tucson GDI,Alexandria,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Tucson-GDI/6193854,2023,12,26
8800,Nissan Sentra 2019,750000.0,Black,79000.0,Nissan,Sentra,Maadi,2023-12-26,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/nissan/sentra/6124767,2023,12,26
8801,Fiat Bravo 2008,470000.0,Black,200000.0,Fiat,Bravo,Alexandria,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/fiat/bravo/6165126,2023,12,26
8802,Chevrolet Optra 2021,630000.0,Petroleum,79000.0,Chevrolet,Optra,El Salam City,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6194148,2023,12,26
8803,Volkswagen Tiguan 2017,1200000.0,Black,157555.0,Volkswagen,Tiguan,Dokki,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/volks-wagen/tiguan/6194115,2023,12,26
8805,Chevrolet Optra 2010,225000.0,Dark red,117000.0,Chevrolet,Optra,Giza,2023-12-26,No,No,Yes,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6194082,2023,12,26
8806,Seat Ateca 2020,1550000.0,Black,103000.0,Seat,Ateca,Tagamo3 - New Cairo,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/seat/Ateca/6194109,2023,12,26
8807,Lada Largus 2023,650000.0,White,70000.0,Lada,Largus,Suez,2023-12-26,No,Yes,Yes,No,https://eg.hatla2ee.com/en/car/lada/Largus/6192390,2023,12,26
8808,Daewoo Nubira 2 2004,220000.0,Silver,16500.0,Daewoo,Nubira 2,Marsa Matrouh,2023-12-26,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6193665,2023,12,26
8810,Toyota Yaris 2009,380000.0,Black,280000.0,Toyota,Yaris,Sheikh Zayed City,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/yaris/6194012,2023,12,26
8811,DFSK K01 2016,190000.0,Silver,145000.0,DFSK,K01,Kafr el-Sheikh,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/dfsk/K01/6194004,2023,12,26
8812,Peugeot 301 2019,620000.0,Silver,89000.0,Peugeot,301,Heliopolis,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/301/6194001,2023,12,26
8813,Opel Astra 2017,780000.0,Red,100000.0,Opel,Astra,Tagamo3 - New Cairo,2023-12-26,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/opel/astra/6193994,2023,12,26
8814,Chery Tiggo 3 2017,500000.0,Black,110000.0,Chery,Tiggo 3,Agamy,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/chery/Tiggo3/6193983,2023,12,26
8815,Renault Logan 2010,245000.0,Silver,200000.0,Renault,Logan,Dakahlia,2023-12-26,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/logan/6193965,2023,12,26
8816,Renault Logan 2016,390000.0,Red,265000.0,Renault,Logan,Cairo,2023-12-26,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/renault/logan/6188426,2023,12,26
8817,Volkswagen Polo 2003,250000.0,Purple,152000.0,Volkswagen,Polo,Tagamo3 - New Cairo,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/polo/6193875,2023,12,26
8818,Mitsubishi Lancer Puma 2008,400000.0,Beige,400000.0,Mitsubishi,Lancer Puma,Menouf,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6193863,2023,12,26
8819,Skoda Fantasia 2009,400000.0,Silver,151000.0,Skoda,Fantasia,Cairo,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/fantasia/6193836,2023,12,26
8820,Toyota Avanza 2008,350000.0,Red,400000.0,Toyota,Avanza,6 October,2023-12-26,No,No,Yes,No,https://eg.hatla2ee.com/en/car/toyota/avanza/6192114,2023,12,26
8821,Renault Logan 2022,630000.0,Silver,80000.0,Renault,Logan,Nasr city,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/logan/6193716,2023,12,26
8822,Mercedes C 300 2020,3000000.0,Gray,80000.0,Mercedes,C 300,Heliopolis,2023-12-25,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/C+300/6192164,2023,12,25
8823,Chevrolet N-Series 2008,230000.0,White,80000.0,Chevrolet,N-Series,Tanta,2023-12-26,No,No,Yes,No,https://eg.hatla2ee.com/en/car/chevrolet/N-Series/6193710,2023,12,26
8824,Nissan Sentra 2018,760000.0,Dark grey,135000.0,Nissan,Sentra,Damietta,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sentra/6193718,2023,12,26
8825,Daewoo Lanos 1996,177000.0,Dark red,189000.0,Daewoo,Lanos,Beheira,2023-12-26,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/lanos/6192473,2023,12,26
8826,Chevrolet N200 2010,170000.0,Silver,198000.0,Chevrolet,N200,El Qanater El Khayreya,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/n200/6193704,2023,12,26
8827,Chery Tiggo 3 2017,520000.0,Silver,116000.0,Chery,Tiggo 3,Mohandessin,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo3/6184154,2023,12,26
8828,Jetour X90 2022,1580000.0,Dark blue,28000.0,Jetour,X90,Kafr el-Sheikh,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/jetour/X90/6193694,2023,12,26
8830,Suzuki Alto 2013,250000.0,Red,88000.0,Suzuki,Alto,Alexandria,2023-12-26,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/suzuki/alto/6193286,2023,12,26
8831,Hyundai Matrix 2002,380000.0,Gold,311000.0,Hyundai,Matrix,Cairo,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/matrix/6192510,2023,12,26
8832,Opel Grandland 2021,1550000.0,White,85000.0,Opel,Grandland,Damanhur,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/Grandland/6187304,2023,12,26
8833,Renault Duster 2019,850000.0,Champagne,115000.0,Renault,Duster,Hurghada,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/duster/6188306,2023,12,26
8834,Mercedes CLA Class 2018,1850000.0,Black,112000.0,Mercedes,CLA Class,Alexandria,2023-12-26,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/mercedes/cla/6193553,2023,12,26
8835,Byd F3 2020,450000.0,Blue,88000.0,Byd,F3,Cairo,2023-12-26,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6193619,2023,12,26
8836,Chevrolet Cruze 2010,390000.0,Dark red,115000.0,Chevrolet,Cruze,Imbaba,2023-12-26,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/chevrolet/cruze/6193617,2023,12,26
8837,Abarth 695 2015,800000.0,Bronze,147000.0,Abarth,695,Heliopolis,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/abarth/695/6193616,2023,12,26
8838,Suzuki Swift Dzire 2021,700000.0,Red,20000.0,Suzuki,Swift Dzire,Alexandria,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/suzuki/swift-dzire/6193613,2023,12,26
8839,Nissan Qashqai 2014,690000.0,Red,149000.0,Nissan,Qashqai,Tagamo3 - New Cairo,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/nissan/qashqai/6193607,2023,12,26
8840,Fiat Tipo 2022,1000000.0,Dark blue,45000.0,Fiat,Tipo,Mit Ghamr,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6192903,2023,12,26
8841,Kia Picanto 2009,350000.0,Orange,105000.0,Kia,Picanto,Obour City,2023-12-26,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/kia/picanto/6193500,2023,12,26
8842,BMW 218 i 2015,800000.0,Black,179000.0,BMW,218 i,Pyramids Gardens,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/bmw/218-i/6193538,2023,12,26
8844,Toyota Corolla 2022,1265000.0,Silver,50000.0,Toyota,Corolla,El-Arish,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/5820410,2023,12,26
8845,Nissan Sunny 2012,485000.0,Dark grey,233000.0,Nissan,Sunny,Qalyub,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6188264,2023,12,26
8846,Byd F3 2015,345000.0,White,260000.0,Byd,F3,Helwan,2023-12-26,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6193515,2023,12,26
8847,Geely Emgrand 7 2015,320000.0,Dark red,95000.0,Geely,Emgrand 7,El Salam City,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/geely/emgrand7/6193481,2023,12,26
8848,Brilliance V5 2015,600000.0,Silver,178000.0,Brilliance,V5,Alexandria,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/brilliance/v5/6193463,2023,12,26
8849,Mini Country man 2013,1300000.0,White,145000.0,Mini,Country man,Alexandria,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/mini/country-man/6188112,2023,12,26
8850,Renault Duster 2018,600000.0,Brown,120000.0,Renault,Duster,Cairo,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/duster/6188088,2023,12,26
8851,BMW 316 2015,1350000.0,Dark grey,240000.0,BMW,316,6 October,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/bmw/316/6193407,2023,12,26
8853,Byd F3 2021,460000.0,Blue,133000.0,Byd,F3,Ain Shams,2023-12-26,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6193382,2023,12,26
8854,Mercedes C 180 2013,1100000.0,Black,60000.0,Mercedes,C 180,Giza,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-180/6178532,2023,12,26
8856,Chevrolet Aveo 2019,490000.0,Silver,200000.0,Chevrolet,Aveo,Cairo,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/aveo/6188078,2023,12,26
8857,Toyota Corolla 2006,500000.0,Red,200000.0,Toyota,Corolla,Cairo,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6188060,2023,12,26
8858,Changan Alsvin 2022,550000.0,Black,72000.0,Changan,Alsvin,6 October,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/changan/Alsvin/6185354,2023,12,26
8859,Mitsubishi Colt 1999,220000.0,Red,180000.0,Mitsubishi,Colt,6 October,2023-12-26,Yes,No,Yes,No,https://eg.hatla2ee.com/en/car/mitsubishi/colt/6193301,2023,12,26
8860,BMW 116 2014,1000000.0,Bronze,92000.0,BMW,116,6 October,2023-12-26,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/bmw/116/6193229,2023,12,26
8861,Mitsubishi Lancer 1998,200000.0,Red,300000.0,Mitsubishi,Lancer,Asyut,2023-12-26,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/lancer/6193290,2023,12,26
8863,Kia Sportage 2018,1420000.0,Gold,28000.0,Kia,Sportage,El Haram,2023-11-23,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/sportage/6132231,2023,11,23
8864,Brilliance FSV 2010,350000.0,Silver,240000.0,Brilliance,FSV,Nasr city,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/brilliance/fsv/6193257,2023,12,26
8865,Volkswagen Turan 2007,520000.0,Blue,160000.0,Volkswagen,Turan,10th of Ramadan,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/turan/6188912,2023,12,26
8866,Subaru XV 2019,1050000.0,Cyan,285000.0,Subaru,XV,Maadi,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/subaru/xv/6193226,2023,12,26
8867,Skoda Fantasia 2011,630000.0,Dark red,240000.0,Skoda,Fantasia,El Mahalla,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/fantasia/6192884,2023,12,26
8868,Kia Picanto 2023,1130000.0,Silver,0.0,Kia,Picanto,Damietta,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/picanto/6187764,2023,12,26
8869,BMW 118 2016,1700000.0,Silver,90000.0,BMW,118,Damietta,2023-12-26,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/bmw/118/6187745,2023,12,26
8870,Chevrolet Optra 2008,365000.0,Silver,140000.0,Chevrolet,Optra,Faqous,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6193100,2023,12,26
8871,Chery Tiggo 3 2024,1230000.0,Silver,0.0,Chery,Tiggo 3,Mohandessin,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo3/6193094,2023,12,26
8872,Chevrolet Optra 2010,395000.0,Silver,185000.0,Chevrolet,Optra,Helwan,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6193074,2023,12,26
8873,Kia Cerato 2014,750000.0,Silver,125000.0,Kia,Cerato,Helwan,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/cerato/6193071,2023,12,26
8874,Chevrolet Optra 2019,650000.0,Blue,180000.0,Chevrolet,Optra,Obour City,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6193062,2023,12,26
8875,Hyundai Verna 2012,300000.0,Silver,279000.0,Hyundai,Verna,Ismailia,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/verna/6193053,2023,12,26
8876,Honda Civic 1993,180000.0,Silver,300000.0,Honda,Civic,Ismailia,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/honda/civic/6193038,2023,12,26
8877,Chevrolet Optra 2019,620000.0,Silver,60000.0,Chevrolet,Optra,6 October,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6193029,2023,12,26
8878,DFSK 330S 2022,490000.0,Silver,78000.0,DFSK,330S,Maadi,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/dfsk/330S/6193005,2023,12,26
8879,Mitsubishi Lancer EX Shark 2018,750000.0,Silver,130000.0,Mitsubishi,Lancer EX Shark,Minya Al Qamh,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6192941,2023,12,26
8880,Ford EcoSport 2021,900000.0,Gray,75000.0,Ford,EcoSport,Tagamo3 - New Cairo,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/ford/ecosport/6192930,2023,12,26
8881,Opel Mokka 2016,6000000.0,White,90000.0,Opel,Mokka,Giza,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/opel/Mokka/6192909,2023,12,26
8882,Daewoo Nubira 2 2007,270000.0,Black,270000.0,Daewoo,Nubira 2,Tagamo3 - New Cairo,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6192890,2023,12,26
8883,Fiat Tipo 2021,900000.0,White,120000.0,Fiat,Tipo,Alexandria,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6192881,2023,12,26
8884,MG 5 2020,850000.0,Blue,75000.0,MG,5,Pyramids Gardens,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6192878,2023,12,26
8885,Citroën C Elysee 2014,450000.0,Dark grey,125000.0,Citroën,C Elysee,Maadi,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/citroen/c-elysee/6192858,2023,12,26
8886,Peugeot 508 2020,1600000.0,Dark grey,64000.0,Peugeot,508,Maadi,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/508/6189839,2023,12,26
8888,Renault Sandero 2013,320000.0,Black,100000.0,Renault,Sandero,Cairo,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/renault/sandero/6192837,2023,12,26
8889,Mitsubishi Pajero 2016,2050000.0,Silver,195000.0,Mitsubishi,Pajero,Giza,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/pajero/6192824,2023,12,26
8890,Daewoo Nubira 2 2001,225000.0,Gold,230000.0,Daewoo,Nubira 2,El Marg,2023-12-26,Yes,No,No,No,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6192806,2023,12,26
8891,Hyundai Elantra MD 2012,475000.0,Black,20000.0,Hyundai,Elantra MD,El Minya,2023-12-26,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Elantra-MD/6192807,2023,12,26
8892,Nissan Sentra 2020,680000.0,Dark grey,141000.0,Nissan,Sentra,Helwan,2023-12-26,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sentra/6192803,2023,12,26
8893,Byd F3 2023,550000.0,Mocha,33000.0,Byd,F3,6 October,2023-12-26,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6192731,2023,12,26
8894,Mercedes 200 1989,300000.0,Black,55555.0,Mercedes,200,Bilbeis,2023-12-25,No,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/200/6192705,2023,12,25
8895,Kia Picanto 2024,980000.0,White,12000.0,Kia,Picanto,Tagamo3 - New Cairo,2023-12-25,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/picanto/6192713,2023,12,25
8896,Renault Captur 2018,685000.0,Bronze,30000.0,Renault,Captur,Alexandria,2023-12-25,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/captur/6192689,2023,12,25
8897,Volkswagen Passat 2023,3320000.0,Blue,20.0,Volkswagen,Passat,Nasr city,2023-12-25,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/volks-wagen/passat/6192684,2023,12,25
8898,Toyota Cressida 1981,70000.0,Blue,100000.0,Toyota,Cressida,Helwan,2023-12-25,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/cressida/6192668,2023,12,25
8899,Chevrolet N300 2015,275000.0,Silver,250000.0,Chevrolet,N300,Sharqia,2023-12-25,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/chevrolet/n300/6192641,2023,12,25
8900,Ford Kuga 2016,980000.0,Green,192000.0,Ford,Kuga,Alexandria,2023-12-25,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/ford/kuga/6192626,2023,12,25
8901,Kia Rio 2013,650000.0,Red,110000.0,Kia,Rio,El Haram,2023-12-25,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/kia/rio/6192576,2023,12,25
8902,Volkswagen Passat 2000,350000.0,Silver,350000.0,Volkswagen,Passat,Warraq,2023-12-25,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/passat/6192569,2023,12,25
8903,Volkswagen Passat 2010,600000.0,Cyan,190000.0,Volkswagen,Passat,Sharqia,2023-12-25,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/passat/6192524,2023,12,25
8904,Chevrolet Lanos 2013,295000.0,Dark grey,95000.0,Chevrolet,Lanos,6 October,2023-12-25,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6192492,2023,12,25
8905,Keyton M70 2023,230000.0,White,140000.0,Keyton,M70,Touhk,2023-12-25,No,No,No,No,https://eg.hatla2ee.com/en/car/keyton/M70/6192464,2023,12,25
8906,Chery Envy 2018,290000.0,Dark grey,130000.0,Chery,Envy,Suez,2023-12-25,No,No,No,No,https://eg.hatla2ee.com/en/car/chery/chery-envy/6192444,2023,12,25
8907,Kia Cerato 2017,850000.0,Gray,64000.0,Kia,Cerato,6 October,2023-12-25,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6192402,2023,12,25
8908,BMW 316 1995,270000.0,Black,240000.0,BMW,316,Tagamo3 - New Cairo,2023-12-25,No,No,No,No,https://eg.hatla2ee.com/en/car/bmw/316/6192398,2023,12,25
8909,Hyundai I30 2010,450000.0,Black,255000.0,Hyundai,I30,Cairo,2023-12-25,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/i30/6192380,2023,12,25
8910,Fiat Tipo 2020,870000.0,Dark red,200000.0,Fiat,Tipo,Cairo,2023-12-25,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6192339,2023,12,25
