,Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL,year,month,day
5833,Byd F3 2019,400000.0,Black,170000.0,Byd,F3,Cairo,2024-01-20,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6240915,2024,1,20
5834,Chevrolet Captiva 2023,1500000.0,Black,18000.0,Chevrolet,Captiva,Alexandria,2024-01-20,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/chevrolet/captiva/6240906,2024,1,20
5835,Mitsubishi Pajero 2012,1800000.0,Black,190000.0,Mitsubishi,Pajero,Tagamo3 - New Cairo,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/pajero/6240911,2024,1,20
5836,Chery Envy 2018,350000.0,Brown,330000.0,Chery,Envy,Obour City,2024-01-20,No,Yes,Yes,No,https://eg.hatla2ee.com/en/car/chery/chery-envy/6240884,2024,1,20
5837,Hyundai Elantra MD 2013,790000.0,White,115000.0,Hyundai,Elantra MD,6 October,2024-01-20,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/hyundai/Elantra-MD/6240876,2024,1,20
5838,Renault Duster 2018,820000.0,White,120000.0,Renault,Duster,Damanhur,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/duster/6240870,2024,1,20
5839,Chery Arrizo 5 2020,570000.0,White,80000.0,Chery,Arrizo 5,6 October,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6240860,2024,1,20
5840,Skoda Octavia A5 2007,750000.0,Silver,150000.0,Skoda,Octavia A5,Alexandria,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A5/6240849,2024,1,20
5842,Volkswagen Jetta 2012,790000.0,Black,128000.0,Volkswagen,Jetta,Alexandria,2024-01-20,Yes,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/jetta/6240821,2024,1,20
5843,DFSK EAGLE 580 2020,800000.0,Petroleum,77000.0,DFSK,EAGLE 580,Cairo,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/dfsk/eagle-580/6240824,2024,1,20
5844,Daewoo Lanos 2009,250000.0,White,178000.0,Daewoo,Lanos,Tanta,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/daewoo/lanos/6240770,2024,1,20
5845,Faw X40 2018,630000.0,Dark red,55000.0,Faw,X40,Imbaba,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/faw/X40/6224669,2024,1,20
5846,Hyundai Elantra MD 2011,550000.0,Silver,87000.0,Hyundai,Elantra MD,Faiyum,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Elantra-MD/6240729,2024,1,20
5847,Chevrolet Aveo 2010,310000.0,Black,260000.0,Chevrolet,Aveo,Hurghada,2024-01-20,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/aveo/6240720,2024,1,20
5848,Nissan Sunny 2022,850000.0,Red,60000.0,Nissan,Sunny,El Haram,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6240713,2024,1,20
5849,Nissan Sunny 2011,430000.0,Silver,184000.0,Nissan,Sunny,Giza,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6240695,2024,1,20
5850,Kia Picanto 2011,340000.0,Black,190000.0,Kia,Picanto,Nasr city,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/picanto/6240678,2024,1,20
5851,Renault Logan 2019,490000.0,Dark blue,148000.0,Renault,Logan,Cairo,2024-01-20,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/renault/logan/6240674,2024,1,20
5852,Opel Astra 2019,850000.0,Gray,85000.0,Opel,Astra,Tagamo3 - New Cairo,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/astra/6240647,2024,1,20
5853,Kia Rio 2014,550000.0,Brown,220000.0,Kia,Rio,Sheikh Zayed City,2024-01-20,Yes,No,No,No,https://eg.hatla2ee.com/en/car/kia/rio/6237501,2024,1,20
5854,Kia Cerato Koup 2011,510000.0,Gray,220000.0,Kia,Cerato Koup,Agamy,2024-01-20,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/kia/koup/6240584,2024,1,20
5855,Hyundai Avante 2012,620000.0,Silver,73000.0,Hyundai,Avante,Gharbia,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/avante/6240590,2024,1,20
5856,Renault Logan 2021,540000.0,Dark blue,92000.0,Renault,Logan,Faiyum,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/logan/6235176,2024,1,20
5857,Mitsubishi Lancer EX Shark 2015,640000.0,Silver,115000.0,Mitsubishi,Lancer EX Shark,Nasr city,2024-01-20,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6238932,2024,1,20
5858,Kia K3 2014,680000.0,Black,198000.0,Kia,K3,Marsa Matrouh,2024-01-20,Yes,No,No,No,https://eg.hatla2ee.com/en/car/kia/K3/6240095,2024,1,20
5859,Speranza A113 2008,145000.0,Silver,500000.0,Speranza,A113,Sohag,2024-01-20,No,Yes,No,No,https://eg.hatla2ee.com/en/car/speranza/a113/6239888,2024,1,20
5860,Mitsubishi Lancer EX Shark 2016,830000.0,Silver,79000.0,Mitsubishi,Lancer EX Shark,Sharqia,2024-01-20,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6240474,2024,1,20
5861,Hyundai Creta 2023,1800000.0,Dark grey,3000.0,Hyundai,Creta,Mansoura,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/creta/6240396,2024,1,20
5862,Hyundai Accent RB 2015,630000.0,Red,235000.0,Hyundai,Accent RB,Suez,2024-01-20,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/6203834,2024,1,20
5863,Mercedes CLA 180 2019,2200000.0,Silver,100000.0,Mercedes,CLA 180,Mohandessin,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/cla-180/6240450,2024,1,20
5864,Nissan Sunny 2022,700000.0,Red,20000.0,Nissan,Sunny,Ismailia,2024-01-20,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6240446,2024,1,20
5865,Hyundai Accent HCI 2022,1100000.0,Red,29000.0,Hyundai,Accent HCI,Cairo,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Accent-HCI/6138552,2024,1,20
5866,Speranza Envy 2019,360000.0,Silver,158000.0,Speranza,Envy,6 October,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/speranza/envy/6240405,2024,1,20
5867,Daewoo Nubira 2 1996,150000.0,Red,140000.0,Daewoo,Nubira 2,Quesna,2024-01-20,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6235071,2024,1,20
5868,Kia Cerato 2006,400000.0,Silver,135000.0,Kia,Cerato,Sharqia,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6240420,2024,1,20
5870,Kia Picanto 2016,600000.0,White,116000.0,Kia,Picanto,Cairo,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/picanto/6240389,2024,1,20
5871,Nissan Sunny 2017,620000.0,Red,35000.0,Nissan,Sunny,Asyut,2024-01-20,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6240390,2024,1,20
5872,Chery Arrizo 5 2023,810000.0,Red,11900.0,Chery,Arrizo 5,Tagamo3 - New Cairo,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6240393,2024,1,20
5873,Renault Kadjar 2019,1050000.0,Red,220000.0,Renault,Kadjar,Nasr city,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/Kadjar/6240375,2024,1,20
5874,BMW 218 i 2015,1150000.0,Silver,185000.0,BMW,218 i,Beni Suef,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/bmw/218-i/6240363,2024,1,20
5875,Kia Cerato 2014,800000.0,Silver,138000.0,Kia,Cerato,Beheira,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/cerato/6240350,2024,1,20
5876,Chevrolet T-Series 2005,400000.0,White,238995.0,Chevrolet,T-Series,Sohag,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/T-Series/6240353,2024,1,20
5877,Hyundai Verna 2010,280000.0,White,500000.0,Hyundai,Verna,Qalyubia,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/verna/6240342,2024,1,20
5878,Mercedes E 300 2012,2350000.0,Black,145000.0,Mercedes,E 300,Cairo,2024-01-20,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/mercedes/e-300/6240332,2024,1,20
5879,Fiat 127 1986,42000.0,Beige,64000.0,Fiat,127,6 October,2024-01-20,No,No,No,Yes,https://eg.hatla2ee.com/en/car/fiat/127/6240293,2024,1,20
5880,Jeep Komodo 2012,550000.0,Gold,130000.0,Jeep,Komodo,Alexandria,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/jeep/komodo/6240284,2024,1,20
5881,Chevrolet Aveo 2010,340000.0,Silver,290000.0,Chevrolet,Aveo,El Haram,2024-01-20,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/chevrolet/aveo/6240287,2024,1,20
5882,Senova A1 2016,430000.0,Blue,60000.0,Senova,A1,6 October,2024-01-20,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/senova/senova-a1/6240263,2024,1,20
5883,Peugeot 307 2007,320000.0,Eggplant,187000.0,Peugeot,307,Cairo,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/peugeot/307/6240260,2024,1,20
5884,Skoda Octavia A4 2004,440000.0,Black,144000.0,Skoda,Octavia A4,Agamy,2024-01-20,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6240242,2024,1,20
5885,Mercedes B 160 2011,620000.0,Mocha,190000.0,Mercedes,B 160,Tagamo3 - New Cairo,2024-01-20,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/b-160/6240201,2024,1,20
5887,Kia EV6 2024,3500000.0,Silver,0.0,Kia,EV6,Tagamo3 - New Cairo,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/EV6/6240122,2024,1,20
5888,Renault Logan 2010,300000.0,Silver,130000.0,Renault,Logan,Cairo,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/renault/logan/6240114,2024,1,20
5889,Hyundai Verna 2014,325000.0,Gold,397500.0,Hyundai,Verna,Giza,2024-01-20,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/verna/6240111,2024,1,20
5891,Mercedes C 180 2022,3600000.0,Black,30900.0,Mercedes,C 180,Sheikh Zayed City,2024-01-20,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/mercedes/c-180/6240042,2024,1,20
5892,Kia Rio 2015,720000.0,Red,89000.0,Kia,Rio,Damanhur,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/rio/6240084,2024,1,20
5893,Toyota Corolla 1983,165000.0,Silver,272000.0,Toyota,Corolla,Alexandria,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6240066,2024,1,20
5895,Kia Pride 1999,130000.0,Silver,50000.0,Kia,Pride,El Haram,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/pride/6240044,2024,1,20
5896,Renault Logan 2016,450000.0,Gold,93000.0,Renault,Logan,Asyut,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/renault/logan/6240060,2024,1,20
5897,Jeep Cherokee 2002,350000.0,Cyan,150000.0,Jeep,Cherokee,6 October,2024-01-20,No,Yes,No,No,https://eg.hatla2ee.com/en/car/jeep/cherokee/6240056,2024,1,20
5898,Speranza Tiggo 2010,360000.0,Blue,152000.0,Speranza,Tiggo,El Haram,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/speranza/tiggo/6240039,2024,1,20
5900,Suzuki Swift 1994,107000.0,Silver,100000.0,Suzuki,Swift,6 October,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/suzuki/swift/6240030,2024,1,20
5901,Hyundai Accent 2001,180000.0,Cyan,415000.0,Hyundai,Accent,El Minya,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/accent/6240024,2024,1,20
5902,Mitsubishi Lancer Puma 2008,550000.0,Silver,270000.0,Mitsubishi,Lancer Puma,Quesna,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6240014,2024,1,20
5903,Fiat Tempra 1987,75000.0,Gray,200000.0,Fiat,Tempra,Tanta,2024-01-20,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/tempra/6240009,2024,1,20
5904,Mitsubishi Lancer EX Shark 2016,665000.0,Silver,150000.0,Mitsubishi,Lancer EX Shark,Shibin El Qanater,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6239991,2024,1,20
5905,Proton Saga 2021,700000.0,Silver,36000.0,Proton,Saga,6 October,2024-01-20,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/proton/saga/6222675,2024,1,20
5906,Daewoo Lanos 2 2005,300000.0,Silver,183000.0,Daewoo,Lanos 2,Obour City,2024-01-20,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/lanos-2/6239967,2024,1,20
